Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
12:00 pm,19.7,15.9,40,WNW,15 8,37 20,1008.2,0.0,2025-10-09
11:30 am,18.4,12.8,43,NW,24 13,48 26,1008.0,0.0,2025-10-09
11:00 am,17.4,11.5,41,NW,24 13,43 23,1008.2,0.0,2025-10-09
10:30 am,17.6,12.5,40,WNW,20 11,54 29,1008.0,0.0,2025-10-09
10:00 am,17.2,12.3,42,NW,19 10,37 20,1007.8,0.0,2025-10-09
9:30 am,16.4,12.3,45,NW,15 8,32 17,1007.4,0.0,2025-10-09
9:00 am,15.4,11.0,48,NNW,17 9,26 14,1007.1,0.0,2025-10-09
8:30 am,14.9,11.1,55,NNW,15 8,24 13,1006.9,0.0,2025-10-09
8:00 am,14.5,10.7,56,NNW,15 8,22 12,1006.7,0.0,2025-10-09
7:30 am,14.1,10.9,61,NNW,13 7,24 13,1006.3,0.0,2025-10-09
7:00 am,13.9,10.8,64,N,13 7,19 10,1005.8,0.0,2025-10-09
6:30 am,14.7,12.0,61,NNW,11 6,15 8,1005.7,0.0,2025-10-09
6:00 am,14.5,12.2,63,N,9 5,15 8,1005.2,0.0,2025-10-09
5:30 am,14.4,11.4,63,N,13 7,17 9,1005.1,0.0,2025-10-09
5:00 am,12.8,12.3,80,NE,2 1,7 4,1005.1,0.0,2025-10-09
4:30 am,13.1,11.5,75,NNE,7 4,13 7,1005.1,0.0,2025-10-09
4:00 am,13.0,11.7,81,NNE,7 4,9 5,1005.4,0.0,2025-10-09
3:30 am,13.1,12.0,82,NE,6 3,11 6,1005.5,0.0,2025-10-09
3:00 am,12.5,12.5,84,CALM,0 0,0 0,1005.6,0.0,2025-10-09
2:30 am,12.8,12.1,83,S,4 2,7 4,1006.0,0.0,2025-10-09
2:00 am,13.3,12.9,80,SW,2 1,9 5,1006.1,0.0,2025-10-09
1:30 am,13.7,12.9,76,WSW,4 2,9 5,1006.2,0.0,2025-10-09
1:00 am,13.8,13.2,65,CALM,0 0,0 0,1005.8,0.0,2025-10-09
12:30 am,15.2,13.7,57,NW,4 2,9 5,1005.8,0.0,2025-10-09
12:00 am,16.5,14.0,52,NW,9 5,15 8,1005.8,0.0,2025-10-09
