Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,9.6,8.0,89,SSE,6 3,7 4,1024.8,1.2,2025-09-21
11:00 pm,9.9,8.4,90,SSE,6 3,7 4,1024.6,1.2,2025-09-21
10:30 pm,10.0,8.4,88,SSE,6 3,9 5,1024.4,1.2,2025-09-21
10:00 pm,10.3,8.9,90,SSE,6 3,9 5,1024.2,1.2,2025-09-21
9:30 pm,10.9,9.5,86,SSE,6 3,7 4,1024.1,1.2,2025-09-21
9:00 pm,11.3,9.8,82,SSE,6 3,9 5,1023.9,1.2,2025-09-21
8:30 pm,11.9,10.3,81,S,7 4,15 8,1023.8,1.2,2025-09-21
8:00 pm,12.7,10.4,78,SSW,11 6,19 10,1023.7,1.2,2025-09-21
7:30 pm,12.8,11.0,81,SSW,9 5,15 8,1023.0,1.2,2025-09-21
7:00 pm,13.2,10.8,81,SSW,13 7,20 11,1022.7,1.2,2025-09-21
