Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
1:00 pm,27.0,26.6,45,NNE,9 5,17 9,1016.8,0.0,2025-10-17
12:30 pm,26.9,26.6,46,NE,9 5,17 9,1017.1,0.0,2025-10-17
12:00 pm,27.5,27.8,45,NNE,6 3,13 7,1017.7,0.0,2025-10-17
11:30 am,27.5,27.5,47,NE,9 5,19 10,1018.2,0.0,2025-10-17
11:00 am,26.2,26.2,48,ENE,7 4,11 6,1018.7,0.0,2025-10-17
10:30 am,25.8,25.7,48,ENE,7 4,13 7,1019.2,0.0,2025-10-17
10:00 am,25.7,26.4,50,ENE,4 2,9 5,1019.7,0.0,2025-10-17
9:30 am,26.2,27.1,50,N,4 2,11 6,1020.2,0.0,2025-10-17
9:00 am,25.0,25.4,53,NE,6 3,17 9,1020.4,0.0,2025-10-17
8:30 am,23.9,25.0,60,NW,4 2,7 4,1020.7,0.0,2025-10-17
8:00 am,22.5,23.3,62,S,4 2,6 3,1020.8,0.0,2025-10-17
7:30 am,20.3,21.3,69,SW,2 1,6 3,1020.8,0.0,2025-10-17
7:00 am,20.0,20.3,70,WSW,6 3,9 5,1020.8,0.0,2025-10-17
6:30 am,18.8,19.5,76,SW,4 2,6 3,1020.6,0.0,2025-10-17
6:00 am,18.0,18.7,80,SW,4 2,9 5,1020.3,0.0,2025-10-17
5:30 am,17.4,18.0,82,SW,4 2,6 3,1020.4,0.0,2025-10-17
5:00 am,17.3,18.0,83,WSW,4 2,7 4,1020.0,0.0,2025-10-17
4:30 am,17.4,18.5,83,SW,2 1,6 3,1019.8,0.0,2025-10-17
4:00 am,17.4,18.1,83,WSW,4 2,6 3,1019.7,0.0,2025-10-17
3:30 am,17.5,18.2,82,SW,4 2,6 3,1019.4,0.0,2025-10-17
3:00 am,17.8,18.8,80,SW,2 1,6 3,1019.3,0.0,2025-10-17
2:30 am,17.9,18.5,79,SW,4 2,7 4,1019.4,0.0,2025-10-17
2:00 am,18.2,18.9,79,SW,4 2,7 4,1019.6,0.0,2025-10-17
1:30 am,17.8,19.0,83,SW,2 1,6 3,1020.0,0.0,2025-10-17
1:00 am,17.2,18.5,82,CALM,0 0,0 0,1020.4,0.0,2025-10-17
12:30 am,17.6,18.8,79,CALM,0 0,0 0,1020.8,0.0,2025-10-17
12:00 am,18.4,19.6,75,CALM,0 0,4 2,1021.2,0.0,2025-10-17
