Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,14.2,8.7,39,NNW,19 10,20 11,1012.2,0.0,2025-10-10
11:00 pm,14.1,8.9,39,NNW,17 9,22 12,1012.5,0.0,2025-10-10
10:30 pm,12.6,8.3,45,NW,13 7,15 8,1012.6,0.0,2025-10-10
10:00 pm,12.6,8.0,46,NW,15 8,20 11,1012.7,0.0,2025-10-10
9:30 pm,13.5,8.6,45,NW,17 9,22 12,1012.7,0.0,2025-10-10
9:00 pm,14.9,10.0,41,NW,17 9,20 11,1012.6,0.0,2025-10-10
8:30 pm,16.7,11.2,37,NW,20 11,28 15,1012.3,0.0,2025-10-10
8:00 pm,17.1,11.7,38,NW,20 11,30 16,1012.1,0.0,2025-10-10
7:30 pm,17.9,11.7,35,NW,24 13,35 19,1011.7,0.0,2025-10-10
7:00 pm,19.1,11.7,32,NW,30 16,48 26,1011.4,0.0,2025-10-10
6:30 pm,20.4,11.6,28,NW,37 20,57 31,1011.3,0.0,2025-10-10
6:08 pm,21.1,13.2,29,WNW,33 18,52 28,1011.2,0.0,2025-10-10
6:00 pm,21.3,12.7,29,WNW,37 20,52 28,1011.1,0.0,2025-10-10
5:41 pm,21.5,13.8,28,WNW,32 17,50 27,1011.0,0.0,2025-10-10
5:30 pm,21.4,13.2,29,NW,35 19,48 26,1011.1,0.0,2025-10-10
5:00 pm,21.8,13.0,26,WNW,37 20,56 30,1011.4,0.0,2025-10-10
4:32 pm,22.3,13.4,28,WNW,39 21,57 31,1011.5,0.0,2025-10-10
4:30 pm,22.3,13.1,29,WNW,41 22,57 31,1011.5,0.0,2025-10-10
4:10 pm,22.0,12.7,29,NW,41 22,59 32,1011.5,0.0,2025-10-10
