Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,25.4,27.0,52,CALM,0 0,0 0,1010.5,0.0,2025-01-06
11:00 pm,26.1,27.8,51,CALM,0 0,0 0,1010.3,0.0,2025-01-06
10:30 pm,26.7,27.0,47,NE,6 3,9 5,1010.2,0.0,2025-01-06
10:00 pm,26.1,26.3,47,N,6 3,7 4,1010.5,0.0,2025-01-06
9:30 pm,26.3,26.7,46,WSW,4 2,9 5,1010.1,0.0,2025-01-06
9:00 pm,26.6,26.5,43,SSW,6 3,15 8,1010.2,0.0,2025-01-06
8:30 pm,28.7,27.5,35,SW,9 5,19 10,1010.0,0.0,2025-01-06
8:00 pm,31.6,30.3,26,SSW,7 4,13 7,1009.2,0.0,2025-01-06
7:30 pm,32.6,31.2,24,SW,7 4,13 7,1008.5,0.0,2025-01-06
7:00 pm,34.5,32.2,16,SW,6 3,15 8,1007.8,0.0,2025-01-06
6:30 pm,35.2,33.4,18,W,6 3,20 11,1007.1,0.0,2025-01-06
6:00 pm,36.3,32.8,15,W,13 7,33 18,1007.2,0.0,2025-01-06
5:30 pm,35.7,34.2,20,WNW,7 4,15 8,1007.3,0.0,2025-01-06
5:00 pm,36.1,32.8,18,NNW,15 8,24 13,1007.4,0.0,2025-01-06
4:30 pm,36.9,33.9,17,NNW,13 7,24 13,1007.6,0.0,2025-01-06
4:00 pm,37.5,33.5,15,N,17 9,28 15,1007.8,0.0,2025-01-06
3:30 pm,36.9,32.4,15,NNW,19 10,28 15,1008.2,0.0,2025-01-06
3:00 pm,36.9,32.4,15,N,19 10,30 16,1008.4,0.0,2025-01-06
2:30 pm,36.7,33.7,17,N,13 7,20 11,1008.7,0.0,2025-01-06
2:00 pm,36.9,32.8,17,N,19 10,30 16,1009.2,0.0,2025-01-06
1:30 pm,35.6,32.4,17,NNW,13 7,20 11,1009.8,0.0,2025-01-06
1:00 pm,37.0,34.9,19,N,11 6,28 15,1009.9,0.0,2025-01-06
12:30 pm,35.7,33.5,22,NNW,13 7,19 10,1010.3,0.0,2025-01-06
