Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
12:00 pm,20.6,12.1,36,WNW,39 21,59 32,1012.5,0.0,2025-09-26
11:57 am,20.8,12.2,35,WNW,39 21,57 31,1012.5,0.0,2025-09-26
11:30 am,20.6,12.8,36,WNW,35 19,50 27,1012.7,0.0,2025-09-26
11:00 am,19.9,11.3,36,WNW,39 21,63 34,1013.1,0.0,2025-09-26
10:48 am,19.5,13.0,42,NW,30 16,48 26,1013.2,0.0,2025-09-26
10:30 am,18.1,11.6,47,NW,30 16,39 21,1013.3,0.0,2025-09-26
10:00 am,17.8,10.2,46,WNW,35 19,50 27,1013.3,0.0,2025-09-26
9:30 am,16.9,9.5,46,WNW,33 18,52 28,1013.3,0.0,2025-09-26
9:01 am,16.6,9.9,48,WNW,30 16,50 27,1013.2,0.0,2025-09-26
9:00 am,16.4,10.1,49,WNW,28 15,44 24,1013.2,0.0,2025-09-26
8:30 am,14.9,8.7,55,NW,28 15,37 20,1013.3,0.0,2025-09-26
8:00 am,12.5,6.4,67,N,28 15,32 17,1013.4,0.0,2025-09-26
7:30 am,10.9,4.7,73,N,28 15,35 19,1013.5,0.0,2025-09-26
7:00 am,10.1,4.2,75,N,26 14,32 17,1013.4,0.0,2025-09-26
6:30 am,8.8,3.2,80,N,24 13,30 16,1013.4,0.0,2025-09-26
6:00 am,8.3,3.0,81,NNE,22 12,28 15,1013.3,0.0,2025-09-26
5:30 am,8.3,3.4,81,N,20 11,26 14,1012.9,0.0,2025-09-26
5:00 am,8.1,4.0,78,N,15 8,19 10,1012.9,0.0,2025-09-26
4:30 am,7.5,4.0,77,NNW,11 6,17 9,1012.9,0.0,2025-09-26
4:00 am,9.1,5.4,72,NNE,13 7,19 10,1013.2,0.0,2025-09-26
3:30 am,8.8,5.0,72,N,13 7,17 9,1013.5,0.0,2025-09-26
3:00 am,9.9,5.8,69,N,15 8,20 11,1013.4,0.0,2025-09-26
2:30 am,10.2,5.8,69,N,17 9,28 15,1013.8,0.0,2025-09-26
2:00 am,10.2,6.2,69,NNW,15 8,22 12,1013.9,0.0,2025-09-26
1:30 am,10.3,5.9,68,N,17 9,22 12,1014.2,0.0,2025-09-26
1:00 am,10.2,6.2,70,NNW,15 8,20 11,1014.3,0.0,2025-09-26
12:30 am,9.6,4.9,78,NNW,20 11,26 14,1014.9,0.0,2025-09-26
12:00 am,9.7,5.6,79,NNW,17 9,20 11,1015.0,0.0,2025-09-26
