Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
10:00 am,15.9,12.3,55,N,15 8,20 11,1007.7,0.0,2025-09-26
9:30 am,15.1,11.5,57,N,15 8,22 12,1008.2,0.0,2025-09-26
9:00 am,14.3,11.0,59,N,13 7,19 10,1008.7,0.0,2025-09-26
8:30 am,14.0,9.9,60,N,17 9,30 16,1008.7,0.0,2025-09-26
8:00 am,13.9,9.2,59,N,20 11,32 17,1008.5,0.0,2025-09-26
7:30 am,13.8,10.0,58,N,15 8,24 13,1008.7,0.0,2025-09-26
7:00 am,13.7,10.1,56,NNE,13 7,17 9,1008.7,0.0,2025-09-26
6:30 am,13.6,9.7,57,N,15 8,24 13,1008.6,0.0,2025-09-26
6:00 am,13.5,9.6,57,N,15 8,20 11,1008.2,0.0,2025-09-26
5:30 am,13.4,9.2,59,N,17 9,22 12,1007.9,0.0,2025-09-26
5:00 am,13.5,9.6,58,N,15 8,22 12,1007.9,0.0,2025-09-26
4:30 am,13.6,10.1,58,N,13 7,26 14,1007.8,0.0,2025-09-26
4:00 am,13.8,10.5,60,NNE,13 7,19 10,1008.0,0.0,2025-09-26
3:30 am,14.3,11.2,55,N,11 6,19 10,1008.1,0.0,2025-09-26
3:00 am,14.2,10.8,58,N,13 7,19 10,1008.6,0.0,2025-09-26
2:30 am,14.3,11.0,60,N,13 7,19 10,1009.0,0.0,2025-09-26
2:00 am,14.6,10.9,58,N,15 8,20 11,1009.1,0.0,2025-09-26
1:30 am,14.1,11.5,65,N,11 6,19 10,1009.7,0.0,2025-09-26
1:00 am,13.9,10.4,65,N,15 8,20 11,1010.4,0.0,2025-09-26
12:30 am,14.2,11.2,64,N,13 7,19 10,1010.6,0.0,2025-09-26
12:00 am,14.3,11.3,64,N,13 7,19 10,1010.5,0.0,2025-09-26
