Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,15.2,14.7,85,WSW,7 4,13 7,1006.8,1.6,2025-09-29
11:00 pm,15.0,14.6,87,WSW,7 4,11 6,1005.9,1.6,2025-09-29
10:30 pm,15.5,14.2,83,NE,11 6,17 9,1005.7,1.6,2025-09-29
10:00 pm,14.8,15.1,91,ESE,4 2,9 5,1006.2,1.2,2025-09-29
