Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.5,11.1,82,WSW,7 4,13 7,1014.6,0.0,2025-09-26
11:00 pm,12.3,10.9,83,WSW,7 4,15 8,1014.7,0.0,2025-09-26
10:30 pm,12.8,11.6,84,SW,7 4,11 6,1014.8,0.0,2025-09-26
10:00 pm,13.6,11.8,83,SW,11 6,15 8,1014.9,0.0,2025-09-26
9:30 pm,13.4,12.4,86,WSW,7 4,13 7,1015.0,0.0,2025-09-26
9:00 pm,13.3,12.5,87,SSW,6 3,15 8,1014.9,0.0,2025-09-26
8:30 pm,13.7,12.8,85,SSW,7 4,13 7,1014.7,0.0,2025-09-26
8:00 pm,14.2,12.9,83,SSW,9 5,15 8,1014.5,0.0,2025-09-26
7:30 pm,14.4,13.6,83,SW,7 4,13 7,1014.2,0.0,2025-09-26
7:00 pm,14.6,13.4,82,SW,9 5,17 9,1013.9,0.0,2025-09-26
6:30 pm,14.9,13.7,80,SW,9 5,17 9,1013.6,0.0,2025-09-26
6:00 pm,15.8,14.2,76,SW,11 6,20 11,1013.3,0.0,2025-09-26
5:30 pm,16.7,14.5,74,SW,15 8,20 11,1013.4,0.0,2025-09-26
5:00 pm,17.6,15.4,70,WSW,15 8,24 13,1013.4,0.0,2025-09-26
4:30 pm,18.0,16.4,71,SW,13 7,22 12,1013.4,0.0,2025-09-26
4:00 pm,17.4,14.8,70,SW,17 9,26 14,1013.5,0.0,2025-09-26
3:30 pm,18.1,15.0,66,SW,19 10,30 16,1013.6,0.0,2025-09-26
3:00 pm,18.9,15.1,61,WSW,22 12,30 16,1013.5,0.0,2025-09-26
2:30 pm,20.1,17.7,63,WSW,17 9,28 15,1013.5,0.0,2025-09-26
2:00 pm,19.8,17.6,66,WSW,17 9,26 14,1013.3,0.0,2025-09-26
