Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,10.5,6.1,59,NW,15 8,22 12,998.1,0.4,2025-09-26
11:00 pm,10.7,5.6,59,NNW,19 10,30 16,997.9,0.4,2025-09-26
10:30 pm,10.9,5.1,56,NNW,22 12,33 18,997.7,0.4,2025-09-26
10:00 pm,11.1,5.4,56,NNW,22 12,37 20,997.8,0.4,2025-09-26
9:30 pm,11.3,5.6,56,N,22 12,35 19,997.8,0.4,2025-09-26
9:00 pm,11.7,6.9,54,NNW,17 9,24 13,997.7,0.4,2025-09-26
8:30 pm,11.8,6.9,60,NNW,19 10,35 19,997.2,0.4,2025-09-26
