Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,14.0,9.3,55,N,19 10,30 16,999.1,0.0,2025-10-07
11:00 pm,14.1,8.5,55,N,24 13,39 21,999.3,0.0,2025-10-07
10:36 pm,14.1,7.7,55,N,28 15,52 28,999.5,0.0,2025-10-07
10:30 pm,13.9,7.5,56,N,28 15,41 22,999.6,0.0,2025-10-07
10:00 pm,14.0,6.3,56,N,35 19,65 35,999.2,0.0,2025-10-07
9:30 pm,14.2,6.8,54,N,33 18,56 30,999.4,0.0,2025-10-07
9:00 pm,14.0,7.5,54,N,28 15,46 25,999.4,0.0,2025-10-07
8:52 pm,13.9,7.5,56,N,28 15,46 25,999.5,0.0,2025-10-07
8:30 pm,14.0,7.3,56,N,30 16,43 23,999.2,0.0,2025-10-07
8:00 pm,14.4,7.0,54,N,33 18,57 31,999.3,0.0,2025-10-07
7:30 pm,14.7,6.5,51,N,37 20,61 33,999.1,0.0,2025-10-07
7:00 pm,14.9,6.3,50,N,39 21,65 35,998.9,0.0,2025-10-07
6:30 pm,15.2,7.3,49,N,35 19,61 33,999.1,0.0,2025-10-07
6:00 pm,15.6,7.6,46,N,35 19,61 33,998.9,0.0,2025-10-07
5:30 pm,16.1,7.9,46,N,37 20,56 30,999.0,0.0,2025-10-07
5:00 pm,16.3,6.7,45,N,44 24,78 42,998.9,0.0,2025-10-07
4:30 pm,16.4,6.4,45,N,46 25,70 38,998.9,0.0,2025-10-07
4:00 pm,16.9,8.0,45,N,41 22,69 37,999.4,0.0,2025-10-07
3:30 pm,17.3,7.2,40,N,46 25,70 38,999.5,0.0,2025-10-07
