Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,20.6,23.6,87,CALM,0 0,0 0,1017.7,0.0,2025-10-07
11:00 pm,20.9,24.1,88,CALM,0 0,4 2,1017.9,0.0,2025-10-07
10:30 pm,21.5,24.4,86,N,2 1,6 3,1017.9,0.0,2025-10-07
10:00 pm,21.7,24.7,86,NE,2 1,6 3,1017.4,0.0,2025-10-07
9:30 pm,21.9,24.5,85,NNE,4 2,6 3,1017.4,0.0,2025-10-07
9:00 pm,22.1,24.2,82,NNE,6 3,9 5,1017.4,0.0,2025-10-07
8:30 pm,22.5,24.5,79,NE,6 3,11 6,1017.2,0.0,2025-10-07
