Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,21.3,22.6,79,NNE,7 4,–,1014.1,0.0,2025-10-16
11:00 pm,21.2,23.1,80,ESE,4 2,–,1014.3,0.0,2025-10-16
10:30 pm,21.0,21.9,81,NE,9 5,–,1014.5,0.0,2025-10-16
10:00 pm,21.0,23.3,81,E,2 1,–,1014.7,0.0,2025-10-16
9:30 pm,21.3,23.2,80,NNE,4 2,–,1014.7,0.0,2025-10-16
9:00 pm,21.4,20.4,79,NE,19 10,–,1014.6,0.0,2025-10-16
8:30 pm,21.5,19.9,78,NNE,22 12,–,1014.7,0.0,2025-10-16
8:00 pm,21.8,20.6,76,NE,20 11,–,1014.6,0.0,2025-10-16
7:30 pm,22.1,20.3,73,NE,22 12,–,1014.5,0.0,2025-10-16
7:00 pm,22.4,20.7,73,NNE,22 12,–,1014.5,0.0,2025-10-16
6:30 pm,22.9,21.3,71,NNE,22 12,–,1014.4,0.0,2025-10-16
6:00 pm,23.4,22.2,69,NNE,20 11,–,1014.3,0.0,2025-10-16
5:30 pm,24.0,23.1,68,NE,19 10,–,1014.5,0.0,2025-10-16
