Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
9:00 am,17.0,14.8,49,SE,7 4,15 8,1021.5,0.0,2025-10-11
8:30 am,15.9,13.9,55,NNE,7 4,11 6,1021.7,0.0,2025-10-11
8:00 am,15.2,13.0,55,NE,7 4,9 5,1021.6,0.0,2025-10-11
7:30 am,13.4,11.9,65,WNW,4 2,7 4,1021.5,0.0,2025-10-11
7:00 am,10.4,10.0,86,CALM,0 0,0 0,1021.4,0.0,2025-10-11
6:30 am,7.8,7.1,95,CALM,0 0,0 0,1021.1,0.0,2025-10-11
6:00 am,7.3,6.5,94,CALM,0 0,0 0,1020.6,0.0,2025-10-11
5:30 am,7.4,6.5,92,CALM,0 0,0 0,1020.3,0.0,2025-10-11
5:00 am,7.9,7.1,92,CALM,0 0,0 0,1020.2,0.0,2025-10-11
4:30 am,8.3,7.6,90,CALM,0 0,0 0,1020.0,0.0,2025-10-11
4:00 am,9.0,8.4,90,CALM,0 0,0 0,1019.6,0.0,2025-10-11
3:30 am,9.6,9.1,88,CALM,0 0,0 0,1019.5,0.0,2025-10-11
3:00 am,9.9,9.4,86,CALM,0 0,0 0,1019.5,0.0,2025-10-11
2:30 am,10.6,10.1,84,CALM,0 0,0 0,1019.6,0.0,2025-10-11
2:00 am,10.4,9.9,84,CALM,0 0,0 0,1019.5,0.0,2025-10-11
1:30 am,11.0,10.6,83,CALM,0 0,0 0,1019.5,0.0,2025-10-11
1:00 am,11.7,11.2,78,CALM,0 0,0 0,1019.3,0.0,2025-10-11
12:30 am,12.9,11.2,69,SSE,6 3,7 4,1019.3,0.0,2025-10-11
12:00 am,13.9,11.6,65,SSE,9 5,11 6,1019.4,0.0,2025-10-11
