Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
12:00 pm,17.4,13.9,33,WSW,9 5,19 10,1018.4,0.0,2025-02-19
11:30 am,17.1,13.5,32,SE,9 5,15 8,1018.8,0.0,2025-02-19
11:00 am,16.5,12.8,33,SE,9 5,17 9,1019.1,0.0,2025-02-19
10:30 am,15.0,11.2,41,SE,11 6,15 8,1019.4,0.0,2025-02-19
10:00 am,14.4,10.3,44,SSE,13 7,19 10,1019.7,0.0,2025-02-19
9:30 am,13.4,9.5,51,SSE,13 7,19 10,1019.5,0.0,2025-02-19
9:00 am,12.1,8.4,60,SE,13 7,17 9,1019.7,0.0,2025-02-19
8:30 am,11.0,7.5,68,SE,13 7,17 9,1019.3,0.0,2025-02-19
8:00 am,9.7,6.4,71,ESE,11 6,15 8,1019.2,0.0,2025-02-19
7:30 am,8.5,5.3,80,SE,11 6,15 8,1018.9,0.0,2025-02-19
7:00 am,6.1,2.9,92,SE,11 6,13 7,1018.6,0.0,2025-02-19
6:30 am,5.5,3.8,91,ESE,2 1,7 4,1018.3,0.0,2025-02-19
6:00 am,4.5,1.9,92,SE,6 3,9 5,1017.8,0.0,2025-02-19
5:30 am,5.0,2.4,89,ENE,6 3,7 4,1017.6,0.0,2025-02-19
5:00 am,5.1,2.5,87,ENE,6 3,7 4,1017.3,0.0,2025-02-19
4:30 am,5.7,2.1,84,E,11 6,13 7,1017.0,0.0,2025-02-19
4:00 am,6.3,2.8,81,ESE,11 6,11 6,1017.0,0.0,2025-02-19
3:30 am,8.1,4.3,75,SSE,13 7,17 9,1016.9,0.0,2025-02-19
3:00 am,9.0,5.2,70,SSE,13 7,19 10,1016.7,0.0,2025-02-19
2:30 am,8.3,4.8,72,SE,11 6,17 9,1016.6,0.0,2025-02-19
2:00 am,8.8,5.3,70,SE,11 6,17 9,1016.6,0.0,2025-02-19
1:30 am,10.0,5.4,64,SSE,17 9,26 14,1016.8,0.0,2025-02-19
1:00 am,9.7,6.2,65,SSE,11 6,17 9,1016.8,0.0,2025-02-19
12:30 am,10.5,5.8,61,SSE,17 9,26 14,1016.8,0.0,2025-02-19
12:00 am,10.8,5.5,59,SSE,20 11,30 16,1016.7,0.0,2025-02-19
