Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
9:30 am,16.0,13.3,50,S,9 5,19 10,1027.0,0.0,2025-10-06
9:00 am,15.2,12.8,58,SSE,9 5,15 8,1027.2,0.0,2025-10-06
8:30 am,14.3,11.8,60,SSE,9 5,17 9,1027.1,0.0,2025-10-06
8:00 am,13.2,10.7,64,SSE,9 5,13 7,1026.9,0.0,2025-10-06
7:30 am,12.3,10.4,72,SE,7 4,11 6,1026.7,0.0,2025-10-06
7:00 am,9.4,9.0,92,CALM,0 0,6 3,1026.4,0.0,2025-10-06
6:30 am,7.9,7.2,94,CALM,0 0,0 0,1026.0,0.0,2025-10-06
6:00 am,7.9,7.1,92,CALM,0 0,0 0,1025.7,0.0,2025-10-06
5:30 am,8.4,7.1,86,SSE,2 1,6 3,1025.3,0.0,2025-10-06
5:00 am,9.3,7.1,82,SSE,7 4,11 6,1025.0,0.0,2025-10-06
4:30 am,9.6,7.5,81,SSE,7 4,11 6,1024.7,0.0,2025-10-06
4:00 am,9.5,7.3,81,SSE,7 4,11 6,1024.5,0.0,2025-10-06
3:30 am,10.0,7.8,78,SSE,7 4,9 5,1024.3,0.0,2025-10-06
3:00 am,10.7,8.2,75,SSE,9 5,13 7,1024.4,0.0,2025-10-06
2:30 am,10.8,7.9,75,SSE,11 6,15 8,1024.2,0.0,2025-10-06
2:00 am,10.3,8.3,80,S,7 4,9 5,1024.2,0.0,2025-10-06
1:30 am,9.9,8.9,84,S,2 1,7 4,1024.1,0.0,2025-10-06
1:00 am,10.3,8.4,84,SSE,7 4,11 6,1024.2,0.0,2025-10-06
12:30 am,9.5,9.0,89,CALM,0 0,0 0,1024.2,0.0,2025-10-06
12:00 am,9.9,9.3,85,CALM,0 0,0 0,1024.2,0.0,2025-10-06
