Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.6,12.4,78,CALM,0 0,0 0,1018.4,0.0,2025-10-17
11:00 pm,13.2,11.9,77,S,6 3,7 4,1018.4,0.0,2025-10-17
10:30 pm,14.3,13.0,72,SE,6 3,9 5,1018.6,0.0,2025-10-17
10:00 pm,14.1,12.8,73,S,6 3,11 6,1018.6,0.0,2025-10-17
9:30 pm,14.7,13.5,72,SSW,6 3,9 5,1018.6,0.0,2025-10-17
9:00 pm,15.2,14.1,70,S,6 3,9 5,1018.5,0.0,2025-10-17
8:30 pm,16.0,14.4,69,S,9 5,13 7,1018.4,0.0,2025-10-17
8:00 pm,16.4,15.3,68,SSW,7 4,15 8,1018.0,0.0,2025-10-17
7:30 pm,17.1,15.6,66,SSW,9 5,17 9,1017.6,0.0,2025-10-17
7:00 pm,18.4,17.2,64,SSW,9 5,19 10,1017.4,0.0,2025-10-17
6:30 pm,19.1,17.5,61,SSW,11 6,17 9,1017.2,0.0,2025-10-17
6:00 pm,18.8,16.0,62,SW,17 9,24 13,1017.1,0.0,2025-10-17
5:30 pm,19.6,17.3,60,SW,15 8,28 15,1017.0,0.0,2025-10-17
5:00 pm,19.9,18.0,59,SW,13 7,22 12,1017.0,0.0,2025-10-17
4:30 pm,20.3,17.9,57,SSW,15 8,22 12,1017.2,0.0,2025-10-17
4:00 pm,19.9,17.4,56,SW,15 8,28 15,1017.5,0.0,2025-10-17
3:30 pm,21.0,19.3,58,SW,13 7,26 14,1017.5,0.0,2025-10-17
3:00 pm,20.2,17.9,54,SW,13 7,20 11,1017.7,0.0,2025-10-17
2:30 pm,20.3,18.5,54,SW,11 6,19 10,1018.0,0.0,2025-10-17
2:00 pm,20.2,18.5,56,SW,11 6,17 9,1018.5,0.0,2025-10-17
1:30 pm,19.5,17.5,55,WSW,11 6,24 13,1018.8,0.0,2025-10-17
1:00 pm,19.7,17.3,59,WSW,15 8,22 12,1019.1,0.0,2025-10-17
12:30 pm,19.4,17.1,61,WSW,15 8,20 11,1019.3,0.0,2025-10-17
