Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,16.6,16.8,74,SSW,2 1,4 2,1019.2,0.0,2025-09-25
11:00 pm,16.6,17.2,74,CALM,0 0,4 2,1019.2,0.0,2025-09-25
10:30 pm,17.9,18.7,70,CALM,0 0,2 1,1019.0,0.0,2025-09-25
10:00 pm,18.2,18.5,68,NNW,2 1,4 2,1018.8,0.0,2025-09-25
9:30 pm,18.6,18.8,65,N,2 1,7 4,1018.7,0.0,2025-09-25
9:00 pm,18.4,18.6,66,N,2 1,6 3,1018.8,0.0,2025-09-25
8:30 pm,17.3,17.9,70,CALM,0 0,0 0,1018.8,0.0,2025-09-25
8:00 pm,18.1,18.7,67,CALM,0 0,4 2,1018.6,0.0,2025-09-25
7:30 pm,18.7,18.8,63,E,2 1,4 2,1018.4,0.0,2025-09-25
7:00 pm,19.6,19.3,60,ENE,4 2,6 3,1018.0,0.0,2025-09-25
6:30 pm,20.6,20.3,56,ENE,4 2,7 4,1017.6,0.0,2025-09-25
6:00 pm,21.1,20.2,51,NE,6 3,9 5,1017.1,0.0,2025-09-25
5:30 pm,21.9,20.9,50,ENE,7 4,15 8,1016.3,0.0,2025-09-25
5:00 pm,22.9,21.4,46,ENE,9 5,17 9,1015.9,0.0,2025-09-25
4:30 pm,23.5,21.4,42,NE,11 6,20 11,1015.4,0.0,2025-09-25
4:00 pm,24.8,22.1,33,NE,11 6,19 10,1015.0,0.0,2025-09-25
3:30 pm,27.1,24.7,25,N,7 4,11 6,1014.8,0.0,2025-09-25
3:00 pm,28.2,25.6,17,W,4 2,9 5,1014.8,0.0,2025-09-25
2:30 pm,27.7,25.0,17,WSW,4 2,13 7,1014.9,0.0,2025-09-25
