Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
1:30 pm,25.5,19.0,26,NW,28 15,39 21,1017.4,0.0,2025-10-16
1:00 pm,25.5,18.4,24,NW,30 16,43 23,1017.8,0.0,2025-10-16
12:30 pm,24.3,16.6,24,NNW,32 17,43 23,1018.5,0.0,2025-10-16
12:00 pm,24.5,17.8,26,NNW,28 15,35 19,1019.2,0.0,2025-10-16
11:30 am,23.3,17.1,29,NW,26 14,39 21,1019.7,0.0,2025-10-16
11:00 am,23.1,18.9,37,NNW,19 10,28 15,1020.0,0.0,2025-10-16
10:30 am,21.4,18.6,44,NNW,13 7,20 11,1020.4,0.0,2025-10-16
10:00 am,18.1,16.9,57,NNW,6 3,9 5,1020.6,0.0,2025-10-16
9:30 am,16.7,16.5,66,NW,2 1,9 5,1020.8,0.0,2025-10-16
9:00 am,14.0,13.8,72,CALM,0 0,0 0,1021.2,0.0,2025-10-16
8:30 am,12.0,11.5,76,CALM,0 0,0 0,1021.2,0.0,2025-10-16
8:00 am,9.8,8.1,86,NNW,6 3,9 5,1021.3,0.0,2025-10-16
7:30 am,8.1,7.2,86,CALM,0 0,0 0,1021.3,0.0,2025-10-16
7:00 am,6.0,4.8,91,CALM,0 0,0 0,1021.2,0.0,2025-10-16
6:30 am,4.4,2.1,90,NW,4 2,7 4,1020.8,0.0,2025-10-16
6:00 am,5.2,3.9,94,CALM,0 0,0 0,1020.5,0.0,2025-10-16
5:30 am,4.8,2.2,89,NNE,6 3,9 5,1020.5,0.0,2025-10-16
5:00 am,5.2,2.7,90,NNE,6 3,7 4,1020.2,0.0,2025-10-16
4:30 am,5.1,2.4,83,S,6 3,11 6,1020.5,0.0,2025-10-16
4:00 am,5.9,3.1,81,S,7 4,7 4,1020.6,0.0,2025-10-16
3:30 am,7.1,5.2,87,S,4 2,7 4,1020.8,0.0,2025-10-16
3:00 am,6.7,4.2,80,S,6 3,9 5,1021.0,0.0,2025-10-16
2:30 am,6.9,5.6,83,CALM,0 0,0 0,1021.4,0.0,2025-10-16
2:00 am,7.5,5.7,75,S,2 1,6 3,1021.4,0.0,2025-10-16
1:30 am,6.9,3.3,76,S,11 6,13 7,1021.4,0.0,2025-10-16
1:00 am,7.3,4.4,72,NNW,7 4,11 6,1021.6,0.0,2025-10-16
12:30 am,6.8,5.2,74,CALM,0 0,0 0,1021.6,0.0,2025-10-16
12:00 am,7.3,3.7,73,NW,11 6,15 8,1021.8,0.0,2025-10-16
