Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,11.6,11.0,76,CALM,0 0,0 0,1021.0,0.0,2025-10-13
11:00 pm,11.6,11.0,76,CALM,0 0,0 0,1021.0,0.0,2025-10-13
10:30 pm,11.4,10.6,71,CALM,0 0,0 0,1021.0,0.0,2025-10-13
10:00 pm,12.5,10.9,66,SSE,4 2,7 4,1020.8,0.0,2025-10-13
9:30 pm,12.8,11.2,65,SSW,4 2,7 4,1020.6,0.0,2025-10-13
9:00 pm,13.2,11.2,63,S,6 3,7 4,1020.3,0.0,2025-10-13
8:30 pm,14.0,11.9,61,S,7 4,13 7,1020.2,0.0,2025-10-13
8:00 pm,14.5,11.4,61,SSW,13 7,20 11,1019.9,0.0,2025-10-13
7:30 pm,14.7,12.8,58,SW,6 3,9 5,1019.4,0.0,2025-10-13
7:00 pm,15.9,14.0,55,SW,6 3,9 5,1019.1,0.0,2025-10-13
6:30 pm,16.6,13.6,50,SW,11 6,19 10,1019.1,0.0,2025-10-13
6:00 pm,17.5,14.5,47,SW,11 6,20 11,1019.2,0.0,2025-10-13
5:30 pm,17.8,14.9,48,SW,11 6,17 9,1019.2,0.0,2025-10-13
5:00 pm,18.3,15.2,48,WSW,13 7,22 12,1019.3,0.0,2025-10-13
4:30 pm,18.7,15.9,46,W,11 6,20 11,1019.1,0.0,2025-10-13
4:00 pm,18.5,15.0,47,WSW,15 8,24 13,1019.4,0.0,2025-10-13
3:30 pm,19.5,16.5,47,WNW,13 7,19 10,1019.3,0.0,2025-10-13
3:00 pm,18.5,15.6,45,W,11 6,20 11,1019.6,0.0,2025-10-13
