Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,12.1,11.4,95,NNE,6 3,7 4,1018.3,0.0,2025-10-16
5:30 am,12.0,11.1,96,NE,7 4,11 6,1018.0,0.0,2025-10-16
5:00 am,12.1,12.2,96,E,2 1,7 4,1017.6,0.0,2025-10-16
4:30 am,12.1,12.1,95,SW,2 1,6 3,1017.2,0.0,2025-10-16
4:00 am,12.3,12.8,95,CALM,0 0,0 0,1017.0,0.0,2025-10-16
3:30 am,12.3,12.4,95,SW,2 1,7 4,1016.9,0.0,2025-10-16
3:00 am,12.5,13.0,94,CALM,0 0,0 0,1017.0,0.0,2025-10-16
2:30 am,12.9,12.9,96,SW,4 2,7 4,1017.0,0.0,2025-10-16
2:00 am,13.1,13.8,95,CALM,0 0,0 0,1017.2,0.0,2025-10-16
1:30 am,13.7,14.7,96,CALM,0 0,0 0,1017.2,0.0,2025-10-16
1:00 am,14.3,15.3,94,CALM,0 0,0 0,1017.2,0.0,2025-10-16
12:30 am,14.5,15.6,94,CALM,0 0,0 0,1017.3,0.0,2025-10-16
12:00 am,14.5,15.6,94,CALM,0 0,0 0,1017.4,0.0,2025-10-16
