Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,21.1,18.5,38,E,9 5,17 9,1024.8,0.0,2024-04-02
11:00 pm,21.1,19.1,40,ESE,7 4,17 9,1025.1,0.0,2024-04-02
10:30 pm,21.0,19.1,42,ESE,7 4,13 7,1025.1,0.0,2024-04-02
10:00 pm,19.6,19.4,56,SSW,2 1,7 4,1024.9,0.0,2024-04-02
9:30 pm,20.1,19.6,60,SSW,6 3,9 5,1024.8,0.0,2024-04-02
9:00 pm,20.3,19.9,61,SSW,6 3,9 5,1024.7,0.0,2024-04-02
8:30 pm,21.3,21.2,60,SSW,6 3,9 5,1024.5,0.0,2024-04-02
8:00 pm,22.1,21.9,59,SSW,7 4,13 7,1024.2,0.0,2024-04-02
7:30 pm,22.0,22.1,60,SSW,6 3,11 6,1024.0,0.0,2024-04-02
7:00 pm,21.7,22.8,60,CALM,0 0,0 0,1023.6,0.0,2024-04-02
6:30 pm,22.8,22.2,56,SSW,9 5,13 7,1023.2,0.0,2024-04-02
6:00 pm,23.5,22.5,53,SSW,11 6,17 9,1022.9,0.0,2024-04-02
5:30 pm,24.7,23.4,47,SW,11 6,19 10,1022.5,0.0,2024-04-02
5:00 pm,26.3,24.7,43,SW,13 7,19 10,1022.4,0.0,2024-04-02
4:30 pm,27.2,25.3,38,SW,13 7,22 12,1022.3,0.0,2024-04-02
