Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:33 pm,10.5,4.1,88,SSW,32 17,50 27,1009.8,17.4,2024-04-02
11:30 pm,10.5,4.5,89,SSW,30 16,44 24,1009.9,17.2,2024-04-02
11:19 pm,10.8,6.1,89,SSW,24 13,39 21,1010.0,17.0,2024-04-02
11:00 pm,11.2,8.3,91,S,15 8,20 11,1010.0,16.6,2024-04-02
10:30 pm,11.3,8.8,89,S,13 7,19 10,1009.4,16.2,2024-04-02
10:00 pm,12.2,8.3,79,SSW,19 10,24 13,1008.7,16.2,2024-04-02
9:30 pm,13.1,9.7,70,SW,15 8,35 19,1008.0,16.2,2024-04-02
9:00 pm,13.3,10.3,69,WSW,13 7,30 16,1007.5,16.2,2024-04-02
8:30 pm,12.8,9.1,72,SW,17 9,28 15,1006.8,16.2,2024-04-02
8:00 pm,12.7,11.9,73,NNW,2 1,7 4,1006.4,16.2,2024-04-02
