Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
8:00 am,17.2,16.4,67,SSW,6 3,11 6,1015.1,0.0,2025-10-14
7:30 am,16.0,15.4,75,S,6 3,7 4,1014.9,0.0,2025-10-14
7:00 am,13.7,14.7,97,CALM,0 0,0 0,1015.0,0.0,2025-10-14
6:30 am,11.5,11.9,98,CALM,0 0,0 0,1015.1,0.0,2025-10-14
6:00 am,10.9,11.1,98,CALM,0 0,0 0,1015.0,0.0,2025-10-14
5:30 am,10.7,10.8,97,CALM,0 0,0 0,1015.1,0.0,2025-10-14
5:00 am,11.0,11.2,96,CALM,0 0,0 0,1015.1,0.0,2025-10-14
4:30 am,11.3,11.5,95,CALM,0 0,0 0,1015.2,0.0,2025-10-14
4:00 am,11.7,12.0,95,CALM,0 0,0 0,1015.2,0.0,2025-10-14
3:30 am,12.0,12.3,93,CALM,0 0,0 0,1015.4,0.0,2025-10-14
3:00 am,12.7,13.1,92,CALM,0 0,0 0,1015.6,0.0,2025-10-14
2:30 am,13.1,12.8,90,S,4 2,7 4,1016.0,0.0,2025-10-14
2:00 am,13.5,14.0,88,CALM,0 0,4 2,1016.2,0.0,2025-10-14
1:30 am,14.5,14.4,85,S,4 2,7 4,1016.4,0.0,2025-10-14
1:00 am,14.6,14.1,84,SSE,6 3,7 4,1016.8,0.0,2025-10-14
12:30 am,15.0,14.4,84,S,7 4,9 5,1017.0,0.0,2025-10-14
12:00 am,15.3,14.3,83,SSE,9 5,17 9,1017.4,0.0,2025-10-14
