Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,14.7,13.4,73,W,7 4,17 9,1018.4,2.2,2024-04-02
11:00 pm,14.6,13.2,72,WSW,7 4,15 8,1018.3,2.2,2024-04-02
10:30 pm,15.0,12.8,69,W,11 6,24 13,1018.2,2.2,2024-04-02
10:00 pm,15.4,14.0,68,W,7 4,17 9,1017.8,2.2,2024-04-02
9:30 pm,15.5,13.3,67,W,11 6,20 11,1017.5,2.2,2024-04-02
9:00 pm,15.5,13.9,70,W,9 5,24 13,1017.1,2.2,2024-04-02
8:30 pm,15.9,14.0,70,WSW,11 6,28 15,1016.6,2.2,2024-04-02
8:00 pm,16.2,13.5,69,W,15 8,33 18,1016.1,2.2,2024-04-02
7:30 pm,16.7,15.1,71,WSW,11 6,28 15,1015.5,2.2,2024-04-02
