Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
4:00 pm,32.2,27.6,12,WSW,13 7,19 10,1013.9,0.0,2024-04-05
3:30 pm,32.8,28.7,12,WSW,11 6,19 10,1013.9,0.0,2024-04-05
3:00 pm,32.7,28.7,13,SW,11 6,19 10,1014.0,0.0,2024-04-05
2:30 pm,32.5,29.0,16,SSW,11 6,17 9,1014.1,0.0,2024-04-05
2:00 pm,33.2,30.6,15,SSE,6 3,9 5,1014.5,0.0,2024-04-05
1:30 pm,32.2,28.9,15,NE,9 5,15 8,1014.9,0.0,2024-04-05
1:00 pm,31.9,28.9,15,WNW,7 4,15 8,1015.4,0.0,2024-04-05
12:30 pm,31.9,29.5,19,N,7 4,13 7,1015.7,0.0,2024-04-05
12:00 pm,30.7,27.0,19,NE,13 7,22 12,1015.9,0.0,2024-04-05
11:30 am,29.7,26.2,24,NE,15 8,24 13,1016.4,0.0,2024-04-05
11:00 am,28.9,25.2,24,NNE,15 8,24 13,1017.0,0.0,2024-04-05
10:30 am,27.7,24.4,29,NE,15 8,26 14,1017.3,0.0,2024-04-05
10:00 am,26.5,23.6,31,NE,13 7,24 13,1017.4,0.0,2024-04-05
9:30 am,26.0,23.3,34,NE,13 7,22 12,1017.6,0.0,2024-04-05
9:00 am,24.2,21.1,34,NE,13 7,26 14,1017.8,0.0,2024-04-05
8:30 am,22.7,19.9,40,NE,13 7,24 13,1017.8,0.0,2024-04-05
8:00 am,21.7,17.9,40,NE,17 9,30 16,1017.7,0.0,2024-04-05
7:30 am,20.9,17.1,42,NE,17 9,30 16,1017.7,0.0,2024-04-05
7:00 am,19.9,16.4,43,NE,15 8,20 11,1017.5,0.0,2024-04-05
6:30 am,19.8,16.5,42,NE,13 7,20 11,1017.5,0.0,2024-04-05
6:00 am,19.8,16.5,42,NE,13 7,19 10,1017.4,0.0,2024-04-05
5:30 am,20.2,16.7,38,NE,13 7,22 12,1017.3,0.0,2024-04-05
5:00 am,20.3,16.8,38,NE,13 7,22 12,1017.3,0.0,2024-04-05
4:30 am,20.2,16.6,37,NE,13 7,20 11,1017.1,0.0,2024-04-05
4:00 am,19.9,16.4,39,NE,13 7,19 10,1017.1,0.0,2024-04-05
3:30 am,16.3,14.5,58,NE,7 4,13 7,1017.2,0.0,2024-04-05
3:00 am,16.8,15.6,56,NE,4 2,9 5,1017.5,0.0,2024-04-05
2:30 am,17.3,16.1,55,NE,4 2,9 5,1017.7,0.0,2024-04-05
2:00 am,18.1,16.9,46,NE,2 1,6 3,1017.8,0.0,2024-04-05
1:30 am,18.6,16.9,43,NE,4 2,9 5,1018.0,0.0,2024-04-05
1:00 am,19.9,17.6,39,NE,7 4,13 7,1018.2,0.0,2024-04-05
12:30 am,16.6,15.9,53,CALM,0 0,7 4,1018.3,0.0,2024-04-05
12:00 am,16.9,16.1,51,CALM,0 0,0 0,1018.4,0.0,2024-04-05
