Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,18.7,19.0,76,SSW,6 3,–,1008.1,0.0,2025-11-24
11:00 pm,18.7,18.4,76,S,9 5,–,1008.2,0.0,2025-11-24
10:30 pm,18.7,18.1,77,S,11 6,–,1007.9,0.0,2025-11-24
10:00 pm,18.9,17.2,76,S,17 9,–,1008.0,0.0,2025-11-24
9:30 pm,18.9,17.5,75,S,15 8,–,1007.9,0.0,2025-11-24
9:00 pm,19.0,17.6,75,SSE,15 8,–,1007.3,0.0,2025-11-24
8:30 pm,19.3,18.8,76,S,11 6,–,1007.8,0.0,2025-11-24
8:00 pm,19.3,17.6,75,SSE,17 9,–,1007.7,0.0,2025-11-24
7:30 pm,19.5,17.3,73,SSE,19 10,–,1007.4,0.0,2025-11-24
7:00 pm,19.9,18.1,71,SSE,17 9,–,1006.8,0.0,2025-11-24
6:30 pm,20.7,18.0,68,SSE,22 12,–,1006.5,0.0,2025-11-24
6:00 pm,20.9,17.6,65,S,24 13,–,1006.3,0.0,2025-11-24
5:30 pm,22.3,20.0,62,S,20 11,–,1006.3,0.0,2025-11-24
5:00 pm,23.2,20.2,58,SSE,24 13,–,1006.1,0.0,2025-11-24
4:30 pm,23.1,20.1,59,SSE,24 13,–,1006.5,0.0,2025-11-24
4:00 pm,23.2,20.4,57,SE,22 12,–,1006.5,0.0,2025-11-24
3:30 pm,24.1,22.0,61,SSE,22 12,–,1006.6,0.0,2025-11-24
3:00 pm,22.8,19.8,61,S,24 13,–,1006.7,0.0,2025-11-24
2:30 pm,23.9,19.7,60,SSE,32 17,–,1006.8,0.0,2025-11-24
2:00 pm,24.2,21.8,62,S,24 13,–,1007.0,0.0,2025-11-24
1:30 pm,25.0,21.7,61,S,30 16,–,1007.1,0.0,2025-11-24
1:00 pm,25.0,21.8,59,SSE,28 15,–,1007.3,0.0,2025-11-24
12:30 pm,23.6,21.0,62,S,24 13,–,1007.4,0.0,2025-11-24
12:00 pm,22.9,21.4,66,S,19 10,–,1007.6,0.0,2025-11-24
11:30 am,22.5,21.1,65,SSW,17 9,–,1007.8,0.0,2025-11-24
11:00 am,22.5,20.6,66,S,20 11,–,1008.0,0.0,2025-11-24
10:30 am,22.9,20.6,60,SSW,20 11,–,1007.8,0.0,2025-11-24
10:00 am,22.9,21.4,66,SSW,19 10,–,1007.9,0.0,2025-11-24
9:30 am,22.8,21.2,65,S,19 10,–,1007.9,0.0,2025-11-24
9:00 am,21.0,18.9,67,S,19 10,–,1008.0,0.0,2025-11-24
8:30 am,21.3,19.5,72,SSW,20 11,–,1007.8,0.0,2025-11-24
8:00 am,20.7,18.3,72,SSW,22 12,–,1007.5,0.0,2025-11-24
7:30 am,20.0,18.1,77,SSW,20 11,–,1007.0,0.0,2025-11-24
7:00 am,19.5,17.6,79,SSW,20 11,–,1006.8,0.0,2025-11-24
6:30 am,18.9,17.6,82,SSW,17 9,–,1006.6,0.0,2025-11-24
6:00 am,18.3,17.8,86,SSW,13 7,–,1006.5,0.0,2025-11-24
5:30 am,18.1,18.0,87,SSW,11 6,–,1006.5,0.0,2025-11-24
5:00 am,17.9,18.2,89,SSW,9 5,–,1006.3,0.0,2025-11-24
4:30 am,18.0,18.7,88,WSW,7 4,–,1006.3,0.0,2025-11-24
4:00 am,18.3,18.3,88,W,11 6,–,1006.3,0.0,2025-11-24
3:30 am,18.7,18.4,87,W,13 7,–,1006.4,0.0,2025-11-24
3:00 am,19.0,19.1,85,W,11 6,–,1006.5,0.0,2025-11-24
2:30 am,19.0,19.1,86,WSW,11 6,–,1006.6,0.0,2025-11-24
2:00 am,19.2,19.4,86,W,11 6,–,1007.1,0.0,2025-11-24
1:30 am,19.4,20.0,85,SSW,9 5,–,1007.3,0.0,2025-11-24
1:00 am,19.6,20.5,83,S,7 4,–,1007.5,0.0,2025-11-24
12:30 am,19.9,20.8,82,SSW,7 4,–,1007.8,0.0,2025-11-24
12:00 am,19.9,20.2,84,SSW,11 6,–,1007.9,0.0,2025-11-24
