Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
8:30 am,14.6,11.5,75,NNE,17 9,22 12,1010.6,4.2,2025-10-20
8:00 am,14.1,11.7,84,NE,15 8,19 10,1010.7,4.2,2025-10-20
7:30 am,11.5,9.6,94,NE,11 6,19 10,1010.7,4.2,2025-10-20
7:00 am,11.2,9.7,95,NE,9 5,13 7,1011.2,4.2,2025-10-20
6:30 am,10.7,9.8,99,NE,6 3,11 6,1010.9,4.2,2025-10-20
6:00 am,10.7,10.1,98,E,4 2,7 4,1010.8,4.2,2025-10-20
5:30 am,10.8,9.2,96,SSE,9 5,13 7,1010.9,4.2,2025-10-20
5:00 am,10.4,8.9,92,NNE,7 4,11 6,1010.6,2.6,2025-10-20
4:30 am,10.2,8.3,93,NE,9 5,13 7,1010.3,2.6,2025-10-20
4:00 am,10.1,8.6,93,NNE,7 4,13 7,1010.4,2.6,2025-10-20
3:30 am,10.2,8.7,94,NNE,7 4,11 6,1010.5,2.6,2025-10-20
3:00 am,10.4,8.6,95,NNE,9 5,15 8,1010.4,2.6,2025-10-20
2:30 am,10.2,9.0,96,NE,6 3,9 5,1010.6,2.6,2025-10-20
2:00 am,10.3,9.8,93,NE,2 1,6 3,1010.6,2.6,2025-10-20
1:30 am,11.0,10.9,91,CALM,0 0,0 0,1010.9,2.6,2025-10-20
1:00 am,11.3,10.4,88,NE,4 2,6 3,1011.2,2.6,2025-10-20
12:30 am,11.5,10.6,86,NE,4 2,6 3,1011.4,2.6,2025-10-20
12:00 am,12.0,11.1,84,NE,4 2,7 4,1011.5,2.6,2025-10-20
