Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,19.7,21.1,89,NNW,7 4,13 7,1009.7,0.0,2025-10-17
11:00 pm,19.4,20.4,90,NNW,9 5,15 8,1009.9,0.0,2025-10-17
10:30 pm,19.2,20.5,90,NNW,7 4,13 7,1010.0,0.0,2025-10-17
10:00 pm,19.4,20.7,89,N,7 4,13 7,1010.2,0.0,2025-10-17
9:30 pm,19.5,20.8,88,NNW,7 4,13 7,1010.5,0.0,2025-10-17
9:00 pm,19.5,20.5,85,NNW,7 4,15 8,1010.7,0.0,2025-10-17
8:30 pm,19.7,20.7,84,NNW,7 4,15 8,1010.7,0.0,2025-10-17
