Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
8:30 am,13.5,12.0,82,SSE,9 5,15 8,1021.7,15.4,2025-10-05
8:00 am,12.9,11.4,85,SSE,9 5,15 8,1021.7,15.4,2025-10-05
7:30 am,12.7,11.2,86,S,9 5,13 7,1021.6,15.2,2025-10-05
7:00 am,12.5,11.5,90,SSE,7 4,13 7,1021.0,15.2,2025-10-05
6:30 am,12.5,11.1,90,SSE,9 5,13 7,1020.5,15.0,2025-10-05
6:00 am,12.7,11.4,91,SSE,9 5,20 11,1019.8,15.0,2025-10-05
5:30 am,12.8,12.2,93,SSE,6 3,11 6,1019.7,14.8,2025-10-05
5:00 am,13.0,11.9,93,SSE,9 5,17 9,1019.2,14.8,2025-10-05
4:30 am,13.1,12.1,95,SSE,9 5,15 8,1018.7,14.6,2025-10-05
4:00 am,13.2,11.8,94,SSE,11 6,19 10,1018.2,14.6,2025-10-05
3:30 am,13.5,12.7,96,SSE,9 5,15 8,1018.3,14.2,2025-10-05
3:00 am,13.7,13.1,98,SSE,9 5,15 8,1017.9,14.0,2025-10-05
2:30 am,13.8,13.6,98,SSE,7 4,13 7,1017.5,14.0,2025-10-05
2:00 am,13.8,13.6,98,SSE,7 4,9 5,1017.5,14.0,2025-10-05
1:30 am,13.9,15.0,98,CALM,0 0,0 0,1017.6,13.8,2025-10-05
1:00 am,14.0,15.2,98,CALM,0 0,0 0,1017.7,13.2,2025-10-05
12:30 am,14.0,15.2,98,CALM,0 0,0 0,1017.7,12.8,2025-10-05
12:00 am,14.1,15.3,99,CALM,0 0,0 0,1017.7,12.6,2025-10-05
