Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,10.3,9.1,96,SSE,6 3,11 6,1020.8,0.2,2025-10-08
5:30 am,9.6,9.3,94,CALM,0 0,0 0,1020.2,0.2,2025-10-08
5:00 am,10.4,10.3,93,CALM,0 0,0 0,1019.9,0.2,2025-10-08
4:30 am,11.3,10.2,91,SSE,6 3,11 6,1019.6,0.2,2025-10-08
4:00 am,11.7,9.9,86,S,9 5,15 8,1019.4,0.2,2025-10-08
3:30 am,12.1,10.0,85,SSE,11 6,17 9,1019.3,0.2,2025-10-08
3:00 am,12.3,10.6,86,SSE,9 5,15 8,1019.4,0.2,2025-10-08
2:30 am,12.8,11.4,88,S,9 5,19 10,1019.5,0.2,2025-10-08
2:00 am,13.2,11.0,86,SSE,13 7,20 11,1019.6,0.2,2025-10-08
1:30 am,13.4,12.2,89,S,9 5,15 8,1019.7,0.2,2025-10-08
1:00 am,13.3,12.8,91,SSE,6 3,9 5,1019.8,0.2,2025-10-08
12:30 am,13.2,12.5,92,SSE,7 4,13 7,1019.9,0.2,2025-10-08
12:00 am,13.4,12.5,94,S,9 5,19 10,1020.1,0.2,2025-10-08
