Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,21.0,23.4,87,E,4 2,7 4,1014.8,4.4,2025-10-18
11:00 pm,21.3,23.4,86,SE,6 3,11 6,1014.9,4.4,2025-10-18
10:30 pm,21.8,24.4,90,SE,6 3,7 4,1014.7,4.4,2025-10-18
10:00 pm,21.8,25.1,89,SSW,2 1,6 3,1014.2,4.4,2025-10-18
9:30 pm,22.1,25.5,89,NNW,2 1,11 6,1013.9,4.4,2025-10-18
9:00 pm,22.1,25.4,88,N,2 1,6 3,1013.9,4.4,2025-10-18
8:30 pm,22.4,25.4,87,NW,4 2,6 3,1014.6,4.4,2025-10-18
8:00 pm,22.5,25.9,87,NE,2 1,7 4,1014.1,4.4,2025-10-18
7:30 pm,22.6,26.0,86,NNE,2 1,4 2,1014.3,4.4,2025-10-18
