Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:00 am,28.1,26.3,34,N,11 6,17 9,1011.9,0.0,2025-10-17
10:30 am,26.8,25.2,39,NNE,11 6,17 9,1012.5,0.0,2025-10-17
10:00 am,25.6,24.0,41,N,11 6,17 9,1012.7,0.0,2025-10-17
9:30 am,24.1,21.9,47,NE,15 8,22 12,1013.0,0.0,2025-10-17
9:00 am,23.1,21.5,52,NE,13 7,19 10,1013.3,0.0,2025-10-17
8:30 am,21.6,20.1,54,NE,11 6,17 9,1013.1,0.0,2025-10-17
8:00 am,19.7,18.5,59,NE,9 5,13 7,1013.3,0.0,2025-10-17
7:30 am,18.4,17.8,67,ENE,7 4,15 8,1013.4,0.0,2025-10-17
7:00 am,16.6,16.1,75,ENE,6 3,9 5,1013.6,0.0,2025-10-17
6:30 am,14.4,13.7,85,NE,7 4,11 6,1014.2,0.0,2025-10-17
6:00 am,13.8,14.4,89,CALM,0 0,6 3,1014.3,0.0,2025-10-17
5:30 am,14.3,13.6,86,NE,7 4,13 7,1014.4,0.0,2025-10-17
5:00 am,13.2,12.3,97,NE,9 5,13 7,1014.3,0.0,2025-10-17
4:30 am,12.4,13.1,99,CALM,0 0,0 0,1014.7,0.0,2025-10-17
4:00 am,12.7,13.5,99,CALM,0 0,0 0,1014.9,0.0,2025-10-17
3:30 am,12.8,13.6,98,CALM,0 0,0 0,1015.2,0.0,2025-10-17
3:00 am,13.1,14.0,98,CALM,0 0,0 0,1015.2,0.0,2025-10-17
2:30 am,13.4,14.4,98,CALM,0 0,0 0,1015.4,0.0,2025-10-17
2:00 am,13.6,14.6,97,CALM,0 0,0 0,1015.5,0.0,2025-10-17
1:30 am,13.8,14.7,95,CALM,0 0,0 0,1016.0,0.0,2025-10-17
1:00 am,14.1,15.0,92,CALM,0 0,0 0,1015.9,0.0,2025-10-17
12:30 am,14.7,15.7,90,CALM,0 0,0 0,1016.1,0.0,2025-10-17
12:00 am,15.6,15.7,90,SSE,6 3,6 3,1016.5,0.0,2025-10-17
