Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
9:30 am,16.7,14.6,58,S,9 5,17 9,1022.6,0.0,2025-10-07
9:00 am,17.0,15.0,58,S,9 5,15 8,1022.5,0.0,2025-10-07
8:30 am,15.9,13.9,62,SSE,9 5,13 7,1022.5,0.0,2025-10-07
8:00 am,15.7,15.0,63,SE,2 1,11 6,1022.4,0.0,2025-10-07
7:30 am,13.2,11.8,75,SE,6 3,7 4,1022.3,0.0,2025-10-07
7:00 am,11.1,11.1,91,CALM,0 0,0 0,1022.2,0.0,2025-10-07
6:30 am,9.4,9.1,94,CALM,0 0,0 0,1022.1,0.0,2025-10-07
6:00 am,9.2,8.7,92,CALM,0 0,0 0,1022.2,0.0,2025-10-07
5:30 am,9.5,9.0,89,CALM,0 0,0 0,1022.2,0.0,2025-10-07
5:00 am,10.5,8.9,85,SE,6 3,9 5,1022.2,0.0,2025-10-07
4:30 am,11.3,9.8,82,SSE,6 3,9 5,1022.4,0.0,2025-10-07
4:00 am,11.8,9.8,81,SSE,9 5,15 8,1022.4,0.0,2025-10-07
3:30 am,12.1,10.1,79,S,9 5,17 9,1022.3,0.0,2025-10-07
3:00 am,12.5,10.0,76,S,11 6,19 10,1022.5,0.0,2025-10-07
2:30 am,12.5,10.5,77,S,9 5,19 10,1022.7,0.0,2025-10-07
2:00 am,12.6,10.3,78,S,11 6,19 10,1022.9,0.0,2025-10-07
1:30 am,12.9,10.3,78,S,13 7,20 11,1023.1,0.0,2025-10-07
1:00 am,13.0,10.6,82,SSE,13 7,20 11,1023.5,0.0,2025-10-07
12:30 am,13.3,11.7,82,S,9 5,19 10,1023.8,0.0,2025-10-07
12:00 am,13.2,11.7,84,S,9 5,15 8,1024.0,0.0,2025-10-07
