Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
8:00 am,11.7,2.7,53,W,39 21,61 33,1005.2,0.4,2025-10-03
7:45 am,11.6,5.6,65,WNW,26 14,50 27,1004.8,0.4,2025-10-03
7:30 am,12.1,6.6,65,NW,24 13,39 21,1004.3,0.4,2025-10-03
7:00 am,12.5,8.3,56,NNW,15 8,48 26,1003.4,0.4,2025-10-03
6:30 am,10.7,7.7,72,N,11 6,19 10,1002.8,0.4,2025-10-03
6:00 am,9.8,5.7,77,N,17 9,26 14,1002.1,0.4,2025-10-03
5:30 am,9.6,6.1,76,N,13 7,28 15,1001.7,0.4,2025-10-03
5:00 am,9.4,3.5,78,N,26 14,44 24,1001.1,0.4,2025-10-03
4:58 am,9.5,3.6,78,N,26 14,44 24,1001.1,0.4,2025-10-03
4:30 am,10.1,6.5,71,N,13 7,24 13,1000.8,0.4,2025-10-03
4:00 am,11.2,7.9,64,N,11 6,28 15,1000.4,0.4,2025-10-03
3:30 am,11.6,6.7,59,N,19 10,33 18,1000.2,0.4,2025-10-03
3:00 am,10.9,6.7,61,N,15 8,30 16,1000.1,0.4,2025-10-03
2:30 am,10.9,7.4,60,NNW,11 6,19 10,1000.5,0.4,2025-10-03
2:00 am,10.9,6.4,63,N,17 9,26 14,1000.7,0.4,2025-10-03
1:30 am,10.8,6.7,64,N,15 8,20 11,1000.8,0.4,2025-10-03
1:00 am,10.8,6.4,65,N,17 9,24 13,1000.9,0.4,2025-10-03
12:30 am,10.8,5.7,64,N,20 11,33 18,1000.8,0.4,2025-10-03
12:00 am,10.8,5.0,64,N,24 13,33 18,1000.8,0.4,2025-10-03
