Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.8,13.0,95,NW,2 1,11 6,1017.7,1.0,2025-09-24
11:00 pm,12.2,12.8,99,CALM,0 0,2 1,1018.1,1.0,2025-09-24
10:30 pm,12.0,12.6,100,CALM,0 0,0 0,1018.2,1.0,2025-09-24
10:00 pm,12.0,12.4,95,CALM,0 0,0 0,1018.4,1.0,2025-09-24
9:30 pm,12.5,12.4,89,NW,2 1,7 4,1018.6,1.0,2025-09-24
9:00 pm,13.0,11.5,86,N,9 5,11 6,1018.9,0.8,2025-09-24
8:30 pm,12.9,11.4,85,N,9 5,11 6,1018.9,0.8,2025-09-24
8:00 pm,12.7,11.8,88,N,6 3,9 5,1019.2,0.8,2025-09-24
7:30 pm,12.7,11.3,89,N,9 5,15 8,1019.5,0.8,2025-09-24
7:00 pm,12.6,11.8,90,NNE,6 3,9 5,1019.4,0.8,2025-09-24
6:30 pm,12.4,11.3,89,NNE,7 4,11 6,1019.3,0.8,2025-09-24
6:00 pm,12.8,11.0,88,N,11 6,15 8,1019.4,0.6,2025-09-24
5:30 pm,12.8,11.3,87,N,9 5,15 8,1019.4,0.6,2025-09-24
5:00 pm,13.1,11.6,85,N,9 5,15 8,1019.7,0.6,2025-09-24
4:30 pm,13.6,12.4,76,NNW,6 3,9 5,1019.8,0.6,2025-09-24
4:00 pm,13.8,12.4,73,WSW,6 3,7 4,1019.9,0.6,2025-09-24
3:30 pm,13.8,12.8,72,SW,4 2,9 5,1020.1,0.6,2025-09-24
3:00 pm,13.7,12.0,71,SSW,7 4,15 8,1020.5,0.6,2025-09-24
2:30 pm,12.9,11.5,77,SSW,6 3,13 7,1021.1,0.6,2025-09-24
