Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.6,13.3,95,SSE,6 3,9 5,1026.8,0.0,2025-09-19
11:00 pm,13.9,13.4,93,SSE,7 4,13 7,1026.9,0.0,2025-09-19
10:30 pm,13.7,13.3,91,S,6 3,9 5,1027.0,0.0,2025-09-19
10:00 pm,14.1,13.7,89,SSE,6 3,7 4,1027.0,0.0,2025-09-19
9:30 pm,14.6,14.1,87,S,7 4,9 5,1027.1,0.0,2025-09-19
9:00 pm,14.7,14.4,87,S,6 3,9 5,1027.1,0.0,2025-09-19
8:30 pm,15.1,14.6,85,S,7 4,11 6,1027.0,0.0,2025-09-19
8:00 pm,15.3,14.8,84,SSW,7 4,13 7,1026.7,0.0,2025-09-19
7:30 pm,15.4,15.0,85,SSW,7 4,13 7,1026.5,0.0,2025-09-19
7:00 pm,15.7,14.8,81,SSW,9 5,19 10,1026.3,0.0,2025-09-19
6:30 pm,16.0,14.5,77,SSW,11 6,22 12,1026.0,0.0,2025-09-19
