Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,18.7,20.2,88,W,4 2,–,1021.2,0.0,2025-10-15
11:00 pm,19.0,21.4,88,CALM,0 0,–,1021.3,0.0,2025-10-15
10:30 pm,19.7,21.5,87,NNW,4 2,–,1021.3,0.0,2025-10-15
10:00 pm,19.9,21.2,86,NE,7 4,–,1021.1,0.0,2025-10-15
9:30 pm,20.1,20.6,85,NE,11 6,–,1020.8,0.0,2025-10-15
9:00 pm,20.1,21.1,86,NE,9 5,–,1020.4,0.0,2025-10-15
8:30 pm,20.2,20.5,87,NE,13 7,–,1020.2,0.0,2025-10-15
8:00 pm,20.3,21.4,86,NE,9 5,–,1019.9,0.0,2025-10-15
7:30 pm,20.5,20.9,86,ENE,13 7,–,1019.5,0.0,2025-10-15
7:00 pm,20.7,20.2,84,ENE,17 9,–,1019.4,0.0,2025-10-15
6:30 pm,21.0,20.1,82,ENE,19 10,–,1019.1,0.0,2025-10-15
6:00 pm,21.4,20.7,78,ENE,17 9,–,1018.8,0.0,2025-10-15
5:30 pm,21.7,20.5,75,ENE,19 10,–,1018.6,0.0,2025-10-15
5:00 pm,22.5,21.1,69,ENE,19 10,–,1018.5,0.0,2025-10-15
4:30 pm,23.3,21.3,69,E,24 13,–,1018.5,0.0,2025-10-15
4:00 pm,23.6,21.5,67,E,24 13,–,1018.7,0.0,2025-10-15
3:30 pm,23.5,20.9,66,ENE,26 14,–,1018.8,0.0,2025-10-15
3:00 pm,24.3,22.8,63,E,20 11,–,1019.2,0.0,2025-10-15
2:30 pm,25.4,23.5,59,ENE,22 12,–,1019.5,0.0,2025-10-15
