Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
7:00 am,15.3,8.6,53,NW,30 16,46 25,993.5,0.0,2024-01-26
6:43 am,15.4,9.1,52,NW,28 15,52 28,993.6,0.0,2024-01-26
6:30 am,15.4,9.6,55,NW,26 14,46 25,993.9,0.0,2024-01-26
6:19 am,15.2,9.2,58,NW,28 15,48 26,993.7,0.0,2024-01-26
6:00 am,14.5,10.1,70,NW,22 12,33 18,993.9,0.0,2024-01-26
5:30 am,15.0,10.5,66,NNW,22 12,35 19,993.7,0.0,2024-01-26
5:00 am,15.4,11.7,61,NW,17 9,22 12,993.8,0.0,2024-01-26
4:30 am,16.0,11.2,57,WNW,22 12,35 19,994.3,0.0,2024-01-26
4:00 am,16.8,12.3,52,NW,20 11,30 16,994.6,0.0,2024-01-26
3:30 am,16.9,13.0,52,W,17 9,28 15,994.8,0.0,2024-01-26
3:00 am,16.5,12.9,58,WNW,17 9,24 13,995.0,0.0,2024-01-26
2:30 am,16.8,12.4,59,NW,22 12,33 18,995.0,0.0,2024-01-26
2:00 am,17.0,13.1,58,NW,19 10,28 15,995.8,0.0,2024-01-26
1:30 am,17.1,13.2,58,NNW,19 10,32 17,995.8,0.0,2024-01-26
1:00 am,17.3,14.2,58,NNW,15 8,24 13,996.6,0.0,2024-01-26
12:30 am,17.3,13.9,59,N,17 9,24 13,997.1,0.0,2024-01-26
12:00 am,17.4,14.4,59,NW,15 8,20 11,997.6,0.0,2024-01-26
