Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,17.2,17.9,91,E,6 3,–,1017.3,3.4,2025-10-06
11:00 pm,17.3,18.0,90,ENE,6 3,–,1017.2,3.0,2025-10-06
10:30 pm,17.5,17.6,88,E,9 5,–,1016.7,2.2,2025-10-06
10:00 pm,17.7,18.8,87,E,4 2,–,1016.6,2.0,2025-10-06
9:30 pm,17.7,17.9,88,ESE,9 5,–,1016.9,1.8,2025-10-06
9:00 pm,17.7,17.9,88,ESE,9 5,–,1016.7,1.8,2025-10-06
8:30 pm,17.8,17.5,86,SE,11 6,–,1016.6,1.8,2025-10-06
8:00 pm,18.0,17.5,87,SSE,13 7,–,1016.5,1.6,2025-10-06
7:30 pm,18.1,17.3,88,SSE,15 8,–,1015.7,1.2,2025-10-06
7:00 pm,18.7,18.2,83,SE,13 7,–,1014.7,0.0,2025-10-06
6:30 pm,19.1,16.6,78,SSE,22 12,–,1014.1,0.0,2025-10-06
6:00 pm,19.6,17.5,76,SSE,20 11,–,1013.6,0.0,2025-10-06
5:30 pm,19.7,18.2,76,SE,17 9,–,1013.0,0.0,2025-10-06
5:00 pm,20.4,18.2,76,SSE,22 12,–,1012.4,0.0,2025-10-06
4:30 pm,21.1,19.3,72,SE,20 11,–,1011.9,0.0,2025-10-06
4:00 pm,21.4,18.9,72,SE,24 13,–,1011.3,0.0,2025-10-06
3:30 pm,23.1,18.4,68,SSE,37 20,–,1010.2,0.0,2025-10-06
3:00 pm,26.5,22.0,49,S,32 17,–,1009.7,0.0,2025-10-06
2:30 pm,31.3,26.4,24,W,24 13,–,1009.2,0.0,2025-10-06
