Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.6,10.7,72,ENE,7 4,9 5,1016.3,0.2,2025-09-28
11:00 pm,12.2,10.0,75,NE,9 5,15 8,1016.4,0.2,2025-09-28
10:30 pm,12.7,10.5,72,NE,9 5,11 6,1016.6,0.2,2025-09-28
10:00 pm,12.8,11.0,73,NE,7 4,9 5,1017.0,0.2,2025-09-28
