Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
7:00 am,12.6,11.0,74,ESE,6 3,9 5,1017.9,0.2,2025-10-22
6:30 am,11.8,9.5,75,ENE,9 5,15 8,1017.7,0.2,2025-10-22
6:00 am,11.4,9.7,78,NE,6 3,13 7,1017.4,0.2,2025-10-22
5:30 am,11.0,9.3,80,NE,6 3,9 5,1017.1,0.2,2025-10-22
5:00 am,11.0,9.2,81,NE,7 4,11 6,1016.9,0.2,2025-10-22
4:30 am,11.0,9.5,84,E,6 3,9 5,1017.0,0.2,2025-10-22
4:00 am,10.2,10.1,96,CALM,0 0,0 0,1017.0,0.2,2025-10-22
3:30 am,10.6,10.6,95,CALM,0 0,0 0,1017.2,0.2,2025-10-22
3:00 am,11.0,10.8,96,SSE,2 1,6 3,1017.1,0.2,2025-10-22
2:30 am,11.2,11.3,94,CALM,0 0,0 0,1017.4,0.2,2025-10-22
2:00 am,11.5,11.0,95,SSE,4 2,7 4,1017.5,0.2,2025-10-22
1:30 am,11.5,11.7,95,CALM,0 0,0 0,1017.5,0.2,2025-10-22
1:00 am,11.7,11.8,91,CALM,0 0,0 0,1017.8,0.2,2025-10-22
12:30 am,12.1,12.3,91,CALM,0 0,0 0,1017.8,0.2,2025-10-22
12:00 am,12.7,12.9,87,CALM,0 0,0 0,1018.0,0.2,2025-10-22
