Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.9,11.8,59,CALM,0 0,0 0,1012.0,0.0,2025-10-07
11:00 pm,14.0,11.7,54,WNW,6 3,11 6,1012.3,0.0,2025-10-07
10:30 pm,14.3,11.8,52,W,7 4,15 8,1012.4,0.0,2025-10-07
10:00 pm,14.7,11.8,51,WNW,9 5,15 8,1012.5,0.0,2025-10-07
9:30 pm,14.9,12.4,50,NW,7 4,15 8,1012.3,0.0,2025-10-07
9:00 pm,15.2,13.3,50,WNW,4 2,11 6,1012.4,0.0,2025-10-07
8:30 pm,16.0,13.5,48,WNW,7 4,15 8,1012.3,0.0,2025-10-07
8:00 pm,16.5,13.5,44,W,9 5,19 10,1011.9,0.0,2025-10-07
7:30 pm,17.5,14.4,40,NNW,9 5,17 9,1011.5,0.0,2025-10-07
7:00 pm,17.7,13.9,40,NNW,13 7,22 12,1011.4,0.0,2025-10-07
6:30 pm,18.5,14.6,37,NW,13 7,32 17,1011.5,0.0,2025-10-07
6:00 pm,18.8,15.0,37,WNW,13 7,24 13,1011.6,0.0,2025-10-07
5:30 pm,18.9,14.4,38,NNW,17 9,32 17,1011.3,0.0,2025-10-07
5:00 pm,18.9,14.3,36,NW,17 9,30 16,1011.3,0.0,2025-10-07
4:30 pm,19.7,16.2,39,NNW,13 7,30 16,1011.4,0.0,2025-10-07
4:00 pm,18.6,13.6,39,NNW,20 11,37 20,1011.9,0.0,2025-10-07
3:30 pm,18.5,13.5,40,N,20 11,33 18,1012.1,0.0,2025-10-07
