Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,14.8,11.3,67,WNW,17 9,32 17,1014.7,0.0,2025-10-09
11:00 pm,15.4,12.3,71,NW,17 9,32 17,1014.4,0.0,2025-10-09
10:30 pm,15.1,12.7,71,NW,13 7,19 10,1014.3,0.0,2025-10-09
10:00 pm,14.9,13.1,70,NW,9 5,15 8,1014.4,0.0,2025-10-09
9:30 pm,15.2,13.4,69,WNW,9 5,13 7,1014.4,0.0,2025-10-09
9:00 pm,15.4,12.8,68,WNW,13 7,20 11,1014.1,0.0,2025-10-09
8:30 pm,15.6,13.5,69,WNW,11 6,17 9,1013.8,0.0,2025-10-09
8:00 pm,15.8,13.4,69,WNW,13 7,20 11,1013.5,0.0,2025-10-09
7:30 pm,16.4,13.7,62,W,13 7,20 11,1013.3,0.0,2025-10-09
7:00 pm,17.2,13.9,55,W,15 8,20 11,1013.1,0.0,2025-10-09
6:30 pm,18.0,14.5,50,W,15 8,24 13,1012.7,0.0,2025-10-09
6:00 pm,18.6,14.6,46,W,17 9,26 14,1012.8,0.0,2025-10-09
5:30 pm,19.0,15.3,48,W,17 9,28 15,1013.1,0.0,2025-10-09
5:00 pm,18.9,14.7,50,WNW,20 11,33 18,1013.2,0.0,2025-10-09
4:30 pm,19.3,15.1,46,W,19 10,32 17,1013.2,0.0,2025-10-09
4:00 pm,19.3,15.1,46,WNW,19 10,32 17,1013.4,0.0,2025-10-09
