Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,8.9,8.0,83,CALM,0 0,0 0,1019.0,0.0,2025-09-28
11:00 pm,9.5,8.5,76,CALM,0 0,0 0,1019.3,0.0,2025-09-28
10:30 pm,9.7,8.8,77,CALM,0 0,0 0,1019.5,0.0,2025-09-28
10:00 pm,10.4,9.1,74,SE,2 1,7 4,1019.6,0.0,2025-09-28
9:30 pm,11.2,9.8,68,SE,2 1,7 4,1019.7,0.0,2025-09-28
9:00 pm,11.8,9.6,65,SE,6 3,9 5,1019.6,0.0,2025-09-28
8:30 pm,12.2,9.8,63,SSE,7 4,13 7,1019.4,0.0,2025-09-28
8:00 pm,12.5,9.7,61,SE,9 5,19 10,1019.1,0.0,2025-09-28
7:30 pm,12.1,10.1,68,S,6 3,11 6,1018.8,0.0,2025-09-28
7:00 pm,12.2,10.5,65,S,4 2,9 5,1018.2,0.0,2025-09-28
6:30 pm,12.7,10.0,61,S,9 5,15 8,1017.9,0.0,2025-09-28
6:00 pm,13.2,10.5,59,SSW,9 5,17 9,1017.7,0.0,2025-09-28
5:30 pm,13.8,11.1,58,S,9 5,15 8,1017.6,0.0,2025-09-28
5:00 pm,14.0,10.4,55,SSW,13 7,20 11,1017.3,0.0,2025-09-28
4:30 pm,14.6,10.9,50,S,13 7,22 12,1017.1,0.0,2025-09-28
4:00 pm,15.4,12.1,42,SSW,9 5,17 9,1017.0,0.0,2025-09-28
3:30 pm,15.5,11.6,44,S,13 7,17 9,1016.9,0.0,2025-09-28
3:00 pm,15.1,11.6,45,S,11 6,17 9,1016.8,0.0,2025-09-28
2:30 pm,15.0,11.5,46,SSW,11 6,20 11,1016.9,0.0,2025-09-28
2:00 pm,15.0,11.5,46,SSW,11 6,17 9,1016.9,0.0,2025-09-28
1:30 pm,14.3,10.7,46,S,11 6,20 11,1017.2,0.0,2025-09-28
1:00 pm,14.8,10.7,42,S,13 7,17 9,1017.3,0.0,2025-09-28
